v1,v2,v3
-0.824,0.3,0.384
-0.864,0.284,0.404
-0.864,0.284,0.412
-0.86,0.272,0.416
-0.86,0.272,0.408
-0.86,0.264,0.392
-0.856,0.28,0.4
-0.86,0.28,0.408
-0.86,0.28,0.408
-0.848,0.292,0.4
-0.86,0.292,0.4
-0.86,0.3,0.404
-0.864,0.296,0.396
-0.812,0.288,0.424
-0.836,0.304,0.4
-0.856,0.3,0.404
-0.852,0.288,0.404
-0.848,0.288,0.404
-0.848,0.304,0.4
-0.856,0.304,0.404
-0.852,0.296,0.4
-0.848,0.308,0.408
-0.86,0.3,0.412
-0.864,0.304,0.4
-0.856,0.308,0.408
-0.856,0.296,0.412
-0.856,0.292,0.412
-0.848,0.292,0.408
-0.832,0.316,0.404
-0.856,0.312,0.408
-0.872,0.296,0.404
-0.852,0.3,0.404
-0.852,0.304,0.4
-0.856,0.308,0.4
-0.856,0.3,0.4
-0.852,0.3,0.412
-0.86,0.292,0.412
-0.856,0.3,0.408
-0.848,0.304,0.4
-0.86,0.3,0.408
-0.852,0.292,0.412
-0.856,0.308,0.412
-0.848,0.304,0.4
-0.848,0.296,0.404
-0.852,0.288,0.412
-0.856,0.296,0.396
-0.86,0.304,0.396
-0.856,0.304,0.396
-0.852,0.304,0.392
-0.86,0.296,0.404
-0.856,0.292,0.396
-0.868,0.3,0.404
-0.872,0.296,0.416
-0.868,0.284,0.404
-0.876,0.276,0.412
-0.888,0.284,0.396
-0.88,0.284,0.404
-0.848,0.304,0.396
-0.848,0.268,0.396
-0.828,0.296,0.396
-0.836,0.308,0.396
-0.836,0.312,0.4
-0.836,0.32,0.4
-0.84,0.316,0.424
-0.84,0.3,0.42
-0.844,0.316,0.42
-0.84,0.316,0.42
-0.84,0.332,0.42
-0.844,0.32,0.412
-0.848,0.296,0.416
-0.856,0.3,0.408
-0.852,0.296,0.404
-0.86,0.312,0.4
-0.868,0.288,0.404
-0.868,0.28,0.4
-0.86,0.288,0.396
-0.852,0.292,0.396
-0.868,0.284,0.392
-0.864,0.276,0.388
-0.868,0.28,0.392
-0.856,0.3,0.4
-0.856,0.304,0.392
-0.856,0.288,0.4
-0.852,0.292,0.408
-0.848,0.308,0.4
-0.836,0.312,0.396
-0.84,0.304,0.408
-0.872,0.228,0.432
-0.86,0.3,0.404
-0.84,0.312,0.412
-0.868,0.244,0.408
-0.848,0.3,0.416
-0.864,0.244,0.42
-0.852,0.304,0.412
-0.848,0.288,0.4
-0.848,0.308,0.396
-0.836,0.312,0.4
-0.868,0.304,0.404
-0.884,0.304,0.42
-0.892,0.3,0.412
-0.88,0.3,0.416
-0.872,0.292,0.412
-0.868,0.292,0.412
-0.888,0.264,0.364
-0.88,0.316,0.384
-0.884,0.26,0.404
-0.84,0.268,0.38
-0.848,0.28,0.372
-0.84,0.316,0.38
-0.864,0.304,0.38
-0.848,0.304,0.384
-0.848,0.304,0.38
-0.856,0.32,0.384
-0.864,0.3,0.396
-0.856,0.308,0.376
-0.86,0.3,0.388
-0.864,0.3,0.384
-0.868,0.308,0.396
-0.876,0.28,0.408
-0.884,0.256,0.42
-0.884,0.248,0.436
-0.88,0.236,0.432
-0.888,0.256,0.416
-0.872,0.26,0.412
-0.864,0.26,0.4
-0.876,0.28,0.384
-0.868,0.296,0.384
-0.868,0.304,0.376
-0.868,0.312,0.376
-0.86,0.296,0.384
-0.86,0.292,0.388
-0.86,0.288,0.388
-0.86,0.288,0.38
-0.868,0.296,0.376
-0.872,0.304,0.38
-0.868,0.292,0.376
-0.868,0.296,0.388
-0.872,0.3,0.384
-0.868,0.272,0.4
-0.864,0.26,0.404
-0.868,0.256,0.42
-0.856,0.268,0.404
-0.848,0.276,0.412
-0.836,0.276,0.396
-0.848,0.292,0.404
-0.84,0.308,0.408
-0.864,0.312,0.424
-0.86,0.308,0.44
-0.848,0.288,0.444
-0.868,0.3,0.424
-0.864,0.284,0.46
-0.872,0.296,0.46
-0.856,0.304,0.476
-0.832,0.288,0.468
-0.848,0.296,0.484
-0.864,0.3,0.488
-0.868,0.284,0.5
-0.912,0.3,0.496
-0.904,0.328,0.5
-0.876,0.28,0.5
-0.852,0.296,0.5
-0.84,0.288,0.52
-0.86,0.264,0.548
-0.88,0.256,0.556
-0.904,0.236,0.584
-0.848,0.32,0.584
-0.844,0.388,0.596
-0.856,0.304,0.656
-0.84,0.236,0.688
-0.836,0.252,0.688
-0.832,0.336,0.684
-0.812,0.348,0.72
-0.816,0.256,0.764
-0.824,0.228,0.776
-0.804,0.332,0.764
-0.784,0.356,0.784
-0.768,0.26,0.812
-0.748,0.228,0.832
-0.74,0.272,0.844
-0.7,0.356,0.808
-0.684,0.316,0.852
-0.66,0.26,0.86
-0.632,0.276,0.856
-0.608,0.292,0.876
-0.596,0.268,0.916
-0.56,0.248,0.928
-0.512,0.256,0.908
-0.504,0.268,0.908
-0.48,0.256,0.912
-0.44,0.26,0.912
-0.4,0.296,0.916
-0.356,0.284,0.92
-0.32,0.252,0.908
-0.248,0.248,0.904
-0.232,0.228,0.912
-0.16,0.248,0.888
-0.136,0.236,0.9
-0.108,0.204,0.892
-0.056,0.196,0.876
-0.02,0.212,0.88
0.004,0.216,0.872
0.056,0.204,0.864
0.112,0.164,0.844
0.128,0.156,0.848
0.152,0.192,0.84
0.2,0.18,0.824
0.244,0.152,0.84
0.26,0.148,0.848
0.264,0.12,0.872
0.284,0.088,0.848
0.324,0.092,0.832
0.336,0.112,0.832
0.356,0.128,0.828
0.384,0.096,0.828
0.432,0.084,0.812
0.464,0.108,0.8
0.464,0.132,0.816
0.496,0.136,0.792
0.496,0.116,0.812
0.512,0.112,0.804
0.548,0.132,0.804
0.556,0.12,0.82
0.532,0.1,0.816
0.58,0.092,0.796
0.588,0.116,0.788
0.548,0.16,0.8
0.596,0.072,0.788
0.612,0.072,0.772
0.636,0.144,0.756
0.652,0.136,0.732
0.668,0.048,0.716
0.652,0.116,0.724
0.688,0.144,0.708
0.672,0.152,0.712
0.684,0.12,0.7
0.696,0.124,0.7
0.696,0.144,0.704
0.708,0.152,0.68
0.716,0.14,0.696
